"film","directors","writers","countries"
"Any Gun Can Play","Enzo Girolami Castellari","Enzo G. Castellari; Giovanni Simonelli; Romolo Guerrieri","Italy"
"Kokowääh 2","Tilman Valentin Schweiger","Til Schweiger","Germany"
"Closer","Mikhail Igor Peschkowsky","Patrick Marber","the United States"
"The Battle Of San Pietro","John Marcellus Huston","John Huston","the United States"
"The Last Unicorn","Arthur Gardner Rankin Jr.","Peter S. Beagle","the United States"
"Purely Belter","Mark Herman","Jonathan Tulloch; Mark Herman","United Kingdom"
"Pattukottai Periyappa","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"For Richer, for Poorer","Jay Henry Sandrich","Stan Daniels","the United States"
"Goldface, the Fantastic Superman","Adalberto ""Bitto"" Albertini","Bitto Albertini","Italy; Spain; Venezuela; font-size:88%;"
"Before Sunrise","Richard Stuart Linklater","Kim Krizan; Richard Linklater","the United States"
"Boy Friend","Pattathil Venugopalan Menon","P. Venu","Bhārat Gaṇarājya; India"
"Alibabayum 41 Kallanmaarum","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"The Gods Must Be Crazy","Jacobus Johannes Uys","Jamie Uys","South Africa"
"Carmen","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Terrorists: The Kids They Sentenced","Karl Frederik Lukas Moodysson","Lukas Moodysson; Stefan Jarl","Konungariket Sverige; Sweden"
"Home Alone","Sergei Sergeyevich Ryabov","Sergei Ryabov; Серге́й Ря́бов","Russia"
"Bon Voyage, Charlie Brown","José Cuauhtémoc Meléndez","Charles M. Schulz","the United States"
"That Thing Called Tadhana","Antoinette B. Jadaone","Antoinette Jadaone","Republika ng Pilipinas; the Philippines"
"Andaz","Rajinder Dhawan; Ramesh Sippy","Gulzar; K Bhagyaraj; K. Bhagyaraj; Sachin Bhaumick; Sachin Bhowmick; শচীন ভৌমিক","Bhārat Gaṇarājya; India"
"Zone of the Dead","Milan Todorović","Milan Konjević; Milan Todorović","Italy; Republika Srbija; Serbia; Spain; Република Србија"
"Pułkownik Kwiatkowski","Kazimierz Julian Kutz","Jerzy Stefan Stawiński","Poland"
"موعد على العشاء","Mohamed Hamed Hassan Khan; محمد حامد حسن خان","Mohamed Khan","Egypt"
"The Final Judgment","Gustavo Adolfo Fuertes Talavera","Gustavo Fuertes","Spain"
"Virunnukari","Pattathil Venugopalan Menon","P. J. Antony; P. Venu; പി.ജെ. ആന്റണി","Bhārat Gaṇarājya; India"
"The Centrifuge Brain Project","Till Benjamin Nowak","Till Nowak","Germany"
"Jaana Pehchana","Sachin Pilgaonkar","Sachin; Sachin (actor)","Bhārat Gaṇarājya; India"
"Ardaas","Rupinder Singh Grewal","Rana Ranbir","Bhārat Gaṇarājya; India"
"Jacob the Liar","Frank Paul Beyer","Frank Beyer; Jurek Becker","Czechoslovakia; Československo; Česko‑Slovensko"
"Autumn Sonata","Ernst Ingmar Bergman","Ingmar Bergman","''; Federal Republic of Germany; Konungariket Sverige; Sweden; West Germany"
"Main Hoon Rajinikanth","Faisal Abdul Razzak Saif Al Zedjally","Faisal Saif","Bhārat Gaṇarājya; India"
"Bear Island","Donald Herman Sharp","Alistair MacLean","United Kingdom"
"Bonsoir","Jean-Paul Adam Mokiejewski","André Ruellan","France"
"Kallum Kaniyagum","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Tiempo de silencio","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Amanece, que no es poco","José Luis Cuerda","José Luis Cuerda","Spain"
"Saturday Night Fever","John MacDonald Badham","Norman Wexler","the United States"
"Lady L","Peter Alexander, Baron von Ustinov","Peter Ustinov; Sir Peter Ustinov","France; Italy; United Kingdom"
"Joshila","Yash Chopra","Akhtar Mirza; Gulshan Nanda","Bhārat Gaṇarājya; India"
"From the Life of the Marionettes","Ernst Ingmar Bergman","Ingmar Bergman","''; Federal Republic of Germany; Konungariket Sverige; Sweden; West Germany"
"Skidoo","Otto Ludwig Preminger","Doran William Cannon; Rob Reiner","the United States"
"जान से प्यारा","Anand","Jainendra Jain; Jainendra K. Jain","Bhārat Gaṇarājya; India"
"Diya Aur Toofan (1969 film)","Mohammad Saeed Khan","Syed Noor","Pakistan"
"Riot","Seymour Kulik","James Poe","the United States"
"Ulysses' Gaze","Theodoros Angelopoulos","Petros Markaris; Theo Angelopoulos; Theodoros Angelopoulos; Tonino Guerra","Greece"
"Oru Malarin Payanam","Venkatachary Srinivasan","""Vietnam Veedu"" Sundaram; Muktha Srinivasan; Vietnam Veedu Sundaram","Bhārat Gaṇarājya; India"
"Joe Dakota","Emilio Paolo Miraglia","Emilio Miraglia","Italy"
"La route de Corinthe","Claude Henri Jean Chabrol","Daniel Boulanger","France; Greece; Italy"
"Un comisar acuză","Sergiu Florin Nicolaescu","Sergiu Nicolaescu","Romania"
"Velundu Vinaiyillai","Kunnesscri Shankar","""Vietnam Veedu"" Sundaram; K. Shankar; Vietnam Veedu Sundaram","Bhārat Gaṇarājya; India"
"Volver","Pedro Almodóvar Caballero","Pedro Almodóvar","Spain"
"Sikharangal","Sheela","Sheela","Bhārat Gaṇarājya; India"
"Story of Women","Claude Henri Jean Chabrol","Claude Chabrol","France"
"Echoes From a Sombre Empire","Werner Herzog Stipetić","Werner Herzog","France; Germany"
"El Pico","Eloy Germán de la Iglesia Diégue","Eloy de la Iglesia","Spain"
"The Tramp","Charles Spencer Chaplin","Charles Chaplin; Charlie Chaplin","the United States"
"Naane Ennul Illai","Lakshmi Krishnaveni Rohini Parvathi Devi","Jayachitra","Bhārat Gaṇarājya; India"
"Kairasi","Kunnesscri Shankar","K. S. Gopalakrishnan; K. Shankar; K.S. Gopala Krishnan","Bhārat Gaṇarājya; India"
"Red Hook Summer","Shelton Jackson Lee","James McBride; Spike Lee","the United States"
"Dracula's Dog","Alfredo Antonnini","Frank Ray Perilli","the United States"
"A Night to Remember","Roy Horace Baker","Eric Ambler","United Kingdom"
"Lottovoittaja UKK Turhapuro","Erkki Olavi Kokkonen","Spede Pasanen","Finland; font-size:88%;"
"Spirit: Stallion of the Cimarron","Kelly Adam Asbury","John Fusco","the United States"
"Breaking the Waves","Lars Trier","Lars von Trier","Denmark"
"The Last Days of Chez Nous","Gillian May Armstrong","Helen Garner","Australia"
"Bloody Mama","Roger William Corman","Robert Thom","the United States"
"Little Dieter Needs to Fly","Werner Herzog Stipetić","Werner Herzog","Germany"
"The Wizard of Oz","Victor Lonzo Fleming","Edgar Allan Woolf; Florence Ryerson; Noel Langley","the United States"
"Bad Taste","Peter Robert Jackson","Peter Jackson","Aotearoa (Māori); New Zealand"
"Cannibalism: The Last Supper","Janet Romero","Lizzy Borden","the United States"
"Oridathu","Govindan Aravindan","G. Aravindan","Bhārat Gaṇarājya; India"
"Au revoir les enfants","Louis Marie Malle","Louis Malle","France"
"Ra.One","Anubhav Sinha","Anubhav Sinha; Kanika Dhillon","Bhārat Gaṇarājya; India"
"Cabin in the Sky","Berkeley William Enos; Lester Anthony Minnelli","Marc Connelly","the United States"
"A Single Shot","David Mitchell Rosenthal","Matthew F. Jones","the United States"
"Amrit Manthan","Shantaram Rajaram Vankudre","Narayan Hari Apte","Bhārat Gaṇarājya; India"
"Dharmam Engey","A. Chengalvaraya Mudaliar Thirulokachander","A. C. Tirulokchandar","Bhārat Gaṇarājya; India"
"Penmani Aval Kanmani","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"Kanooru Heggadithi","Girish Raghunath Karnad; ಗಿರೀಶ್ ಕಾರ್ನಾಡ್","Girish Karnad; Kuppali Venkatappa Puttappa , ಕುಪ್ಪಳ್ಳಿ ವೆಂಕಟಪ್ಪ ಪುಟ್ಟಪ್ಪ; Kuvempu","Bhārat Gaṇarājya; India"
"Don Quixote","George Orson Welles","Miguel de Cervantes; Orson Welles","Spain"
"Chathurvedam","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"The Shortcut","Nicholaus Edward Goossens","Dan Hannon","the United States"
"Anthithaamarai","Chinnasaamy Periyamayathevar","P. Bharathiraja","Bhārat Gaṇarājya; India"
"Rushmore","Wesley Wales Anderson","Owen Wilson; Wes Anderson","the United States"
"The Green Mile","Ferenc Árpád Darabont","Frank Darabont","the United States"
"The Nameless","Jaume Balagueró i Bernat","Jaume Balagueró","Spain"
"The Lame Devil","Alexandre-Pierre Georges Guitry","Sacha Guitry","France"
"Betrayal","David Hugh Jones","Harold Pinter","United Kingdom"
"Inji Iduppazhagi / Size Zero","Kovelamudi Prakash Rao","Kanika Dhillon","Bhārat Gaṇarājya; India"
"Muttathe Mulla","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"The Russian Question","Mikhail Ilych Romm; Михаил Ильич Ромм","Konstantin Simonov; Mikhail Romm; Михаил Ромм","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Gunfight at the O.K. Corral","John Eliot Sturges","Leon Uris","the United States"
"The Battle of San Pietro","John Marcellus Huston","John Huston","the United States"
"Luna Caliente","Vicente Aranda Ezquerra","Mempo Giardinelli","Spain"
"La Chèvre","Francis Paul Veber","Francis Veber","France; Mexico"
"The Iron Giant","Phillip Bradley Bird","Tim McCanlies","the United States"
"Nasbandi","Inderjeet Singh Johar","I. S. Johar","Bhārat Gaṇarājya; India"
"The Spy in the Green Hat","Giuseppe Danielle Sorgente","Peter Allan Fields","the United States"
"Two Idiots in Hollywood","Stephen Harold Tobolowsky","Stephen Tobolowsky","the United States"
"Australia","Mark Anthony Luhrmann","Baz Luhrmann; Richard Flanagan; Ronald Harwood; Sir Ronald Harwood; Stuart Beattie","Australia"
"L'insegnante","Fernando Cicero","Nando Cicero","Italy"
"Yakshagaanam","Sheela","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Aayiram Poi","Venkatachary Srinivasan","Cho Ramaswamy","Bhārat Gaṇarājya; India"
"Waiting for the Messiah","Daniel Burman","Daniel Burman; Emiliano Torres","Argentina; Italy; Spain"
"Affengeil","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"María Candelaria (Xochimilco)","Emilio Fernández Romo","Emilio Fernández","Mexico"
"Fram för lilla Märta","Hans Gösta Ekman","Hasse Ekman","Konungariket Sverige; Sweden"
"Shotru","Raj Chakraborty","Hari","Bhārat Gaṇarājya; India"
"Sindooracheppu","Madhavan Nair","Yusufali Kechery","Bhārat Gaṇarājya; India"
"Sachché Ká Bol-Bálá","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Vagdanam","Kilambi Venkata Narasimhacharyulu (కిలంబి వెంకట నరసింహాచార్యులు)","Aathreya; Aatreya; Bollimunta Sivaramakrishna","Bhārat Gaṇarājya; India"
"Family Viewing","Atom Yeghoyan","Atom Egoyan","Canada"
"Aanazhagan","Thiagarajan","Thiagarajan Sivanandam; Thyagarajan","Bhārat Gaṇarājya; India"
"Down","Dick Herman Willem Maas","Dick Maas","the Netherlands; the United States"
"Danton","Andrzej Witold Wajda","Agnieszka Holland; Andrzej Wajda; Jean-Claude Carrière","''; Federal Republic of Germany; France; Poland; West Germany"
"Anweshanam.com","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Lakshmi Saraswathi","Kikkeri Shamanna Lakshminarasimha Swamy","Valampuri Somanathan; வலம்புரி சோமநாதன்","Bhārat Gaṇarājya; India"
"Pass the Gravy","Thomas Leo McCarey","Leo McCarey","the United States"
"Being Osama","Mahmoud Kaabour","Mahmoud Kaabour; محمود قعبور","Canada"
"Sarasayya","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"My Brilliant Life","Lee Jae-yong","E J-yong; Je-yong Lee","South Korea"
"Serpent of the Nile","William Schloss, Jr.","Robert E. Kent","the United States"
"Betrayed","Konstantinos Gavras","Joe Eszterhas","the United States"
"The Big Shave","Martin Charles Scorsese","Martin Scorsese","the United States"
"Lolita's Club","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"(The Fireman's Ball)","Jan Tomáš Forman","Ivan Passer; Miloš Forman","Czechoslovakia; Československo; Česko‑Slovensko"
"The Run of the Country","Peter James Yates","Shane Connaughton","Ireland; the United States"
"Dead Daughters","Pavel Yurevich Ruminov","Pavel Ruminov","Russia"
"Mrs. Doubtfire","Chris Joseph Columbus","Leslie Dixon; Randi Mayem Singer","the United States"
"The Lord of the Rings","Peter Robert Jackson","Fran Walsh; Peter Jackson; Philippa Boyens; Stephen Sinclair","Aotearoa (Māori); New Zealand"
"Dogville","Lars Trier","Lars von Trier","Konungariket Sverige; Sweden"
"Beautiful Girls","Edward Kern Demme","Scott Rosenberg","the United States"
"El jardín de las delicias","Carlos Saura Atarés","Carlos Saura; Rafael Azcona","Spain"
"Saadia","Albert Parsons Lewin","Albert Lewin","the United States"
"अंदाज़","Rajinder Dhawan","K Bhagyaraj; K. Bhagyaraj","Bhārat Gaṇarājya; India"
"How Much Wood Would a Woodchuck Chuck","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"Michael Collins","Neil Patrick Jordan","Neil Jordan","United Kingdom"
"Enamorada","Emilio Fernández Romo","Benito Alazraki","Mexico"
"Jaan Se Pyaara","Anand","Jainendra Jain; Jainendra K. Jain","Bhārat Gaṇarājya; India"
"Asesinato en el Comité Central","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Leftenan Adnan","Aziz Bin Osman","Aziz M. Osman","Malaysia"
"Linha de Passe","Walter Moreira Salles, Jr.","Bráulio Mantovani; Daniela Thomas; Walter Salles","Brazil"
"Prahaar","Vishwanath Patekar","Hriday Lani; Nana Patekar","Bhārat Gaṇarājya; India"
"Pippi on the Run","Nils Olof Hellbom","Astrid Lindgren","''; Federal Republic of Germany; Konungariket Sverige; Sweden; West Germany"
"Gowri Kalyanam","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Achhut","Chandulal Jesangbhai Shah","Chandulal Shah","India"
"Coonskin","Ralph Bakshi","Ralph Bakshi","the United States"
"Bride by Mistake","Clarence Richard Wallace","Henry Ephron; Phoebe Ephron","the United States"
"Paanch","Anurag Singh Kashyap","Anurag Kashyap","Bhārat Gaṇarājya; India"
"The Heroine","George Orson Welles","Orson Welles","Hungary"
"Humshakals","Sajid Kamran Khan","Sajid Khan","Bhārat Gaṇarājya; India"
"Red Sundown (deutsch: Auf der Spur des Todes)","Jack Arnold Waks","Lewis B. Patten; Martin Berkeley","the United States"
"The Spiders","Friedrich Christian Anton Lang","Fritz Lang","Deutsches Reich; German Reich; Weimar Republic"
"The Proud and Profane","George Stenius","George Seaton","the United States"
"The Proprietor","Ismail Noormuhammad Abdul Rahman","Jean-Marie Besset","France"
"Roger & Me","Michael Francis Moore","Michael Moore","the United States"
"Le Monsieur, le Vampire et Renée Marcelle","Oskar Alvarado Mendoza","Oscar Alvarado; Oskar Alvarado","Mexico"
"Gravity","Alfonso Cuarón Orozco","Alfonso Cuarón; Jonás Cuarón","United Kingdom"
"Qayamat: City Under Threat (Bollywood movie)","Harjaspal Baweja","Harry Baweja","Bhārat Gaṇarājya; India"
"A War Story","Dorothy Anne Wheeler","Anne Wheeler","Canada"
"Bharosa","Kunnesscri Shankar","Rajendra Krishan","Bhārat Gaṇarājya; India"
"Dilwale","Harjaspal Baweja","Karan Razdan","Bhārat Gaṇarājya; India"
"Rasputin, the Mad Monk","Donald Herman Sharp","Anthony Frank Hinds; Anthony Hinds","United Kingdom"
"Vroom Vroom Vroooom","Melvin Peebles","Melvin Van Peebles","Germany"
"Velutha Kathreena","Nambiathusseril Varkey John","Muttathu Varkey","Bhārat Gaṇarājya; India"
"Paduka Pattabhishekam","K. B. Nagabhushanam","Panuganti Lakshminarasimha Rao","Bhārat Gaṇarājya; India"
"Gospa","Jakov Sedlar","Barry Morrow; Ivan Aralica","Croatia"
"A Woman's Vengeance","Kellner Zoltán","Aldous Huxley","the United States"
"Hoffmaniada","Stanislav Mihaylovich Sokolov","E. T. A. Hoffmann; Stanislav Sokolov","Russia"
"El barchante Neguib","Joaquín Pardavé Arce","Carlos Orellana","Mexico"
"Leatherheads","George Timothy Clooney","George Clooney; Rick Reilly","the United States"
"The Friends at the Margherita Cafe","Giuseppe Avati","Pupi Avati","Italy"
"Sonnal Thaan Kaadhala","Vijaya Thesingu Rajender","T. Rajendar","Bhārat Gaṇarājya; India"
"Dawn of the Mummy","Farouk Agama","Frank Agrama","Egypt; Italy; the United States"
"40 Pounds of Trouble","Norman Frederick Jewison","Marion Hargrove","the United States"
"The Hand in the Trap","Leopoldo Torres Nilsson","Beatriz Guido","Argentina"
"Neethikku Thandanai","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Demons Never Die","Arjun Paul Rose","Arjun Rose","United Kingdom"
"A Girl in Every Port","Howard Winchester Hawks","James Kevin McGuinness; Seton I. Miller","the United States"
"Strike Commando","Bruno Mattei","Bruno Mattei; Claudio Fragasso","Republika ng Pilipinas; the Philippines"
"Bhale Adrushtavo Adrushta","Kikkeri Shamanna Lakshminarasimha Swamy","Valampuri Somanathan; வலம்புரி சோமநாதன்","Bhārat Gaṇarājya; India"
"G.I. Joe: Retaliation","Jonathan Murray Chu","Paul Wernick; Rhett Reese","the United States"
"Submarine Command","John Villiers Farrow","Jonathan Latimer","the United States"
"Noesa Penida","Abisin Abbas","Andjar Asmara","Dutch East Indies; Hindia-Belanda; Nederlands-Indië; Nederlandsch-Indië; Netherlands East-Indies"
"Une fille et des fusils","Claude Barruck Joseph Lelouch","Claude Lelouch; Pierre Uytterhoeven","France"
"Microphone","Ahmad Abdalla El Sayed","Ahmad Abdalla","Egypt"
"Rasukutty","Krishnasaamy Bhagyaraj","K Bhagyaraj; K. Bhagyaraj","Bhārat Gaṇarājya; India"
"Perspective","Benjamin Patrick Paquette","B. P. Paquette","Canada"
"A Little Trip to Heaven","Baltasar Kormákur Samper","Baltasar Kormákur","Iceland; Lýðveldið Ísland"
"Yellow Emanuelle","Adalberto ""Bitto"" Albertini","Bitto Albertini","Italy"
"Gaby","Kurt Bernhardt","Albert Hackett; Charles Lederer; Frances Goodrich; George Froeschel; Robert E. Sherwood; S. N. Behrman; S.N. Behrman","the United States"
"God's Angry Man","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"ARASA KATTALAI","Marudur Gopala Chakrapani","R. M. Veerappan","Bhārat Gaṇarājya; India"
"The Fixer","John Michael Frankenheimer","Bernard Malamud; Dalton Trumbo","United Kingdom"
"Leningrad Cowboys Meet Moses","Aki Olavi Kaurismäki","Aki Kaurismäki; Mato Valtonen","Finland; font-size:88%;"
"Dhruva","Patthi Surender Reddy","Surender Reddy","Bhārat Gaṇarājya; India"
"El maleficio 2: Los enviados del infierno","Raúl Araiza Herrera","Raúl Araiza","Mexico"
"Le Clan des Siciliens","Ashot Malakian","Auguste Le Breton; Henri Verneuil; José Giovanni","France"
"Andrei Rublev","Andrei Arsenyevich Tarkovsky","Andrei Konchalovsky","Soviet Union (USSR); Union of Soviet Socialist Republics"
